Complex,Subunit Name,Subunit Stoichiometry,Subunit ID
mito_f1f0_atp_synthase_yeast,ATP18,1,YML081C-A
mito_f1f0_atp_synthase_yeast,ATP5,1,YDR298C
mito_f1f0_atp_synthase_yeast,ATP2,3,YJR121W
mito_f1f0_atp_synthase_yeast,ATP14,1,YLR295C
mito_f1f0_atp_synthase_yeast,ATP3,1,YBR039W
mito_f1f0_atp_synthase_yeast,ATP17,1,YDR377W
mito_f1f0_atp_synthase_yeast,ATP1,3,YBL099W
mito_f1f0_atp_synthase_yeast,ATP19,1,YOL077W-A
mito_f1f0_atp_synthase_yeast,TIM11,1,YDR322C-A
mito_f1f0_atp_synthase_yeast,ATP7,1,YKL016C
mito_f1f0_atp_synthase_yeast,ATP15,1,YPL271W
mito_f1f0_atp_synthase_yeast,ATP16,1,YDL004W
mito_f1f0_atp_synthase_yeast,ATP4,1,YPL078C
gimc_yeast,PFD1,1,YJL179W
gimc_yeast,GIM4,1,YEL003W
gimc_yeast,GIM3,1,YNL153C
gimc_yeast,YKE2,1,YLR200W
gimc_yeast,GIM5,1,YML094W
gimc_yeast,PAC10,1,YGR078C
sulfite-reductase_yeast,MET5,2,YJR137C
sulfite-reductase_yeast,MET10,2,YFR030W
shu_yeast,CSM2,1,YIL132C
shu_yeast,SHU1,1,YHL006C
shu_yeast,SHU2,1,YDR078C
shu_yeast,PSY3,1,YLR376C
trna_a34_yeast,TAD3,1,YLR316C
trna_a34_yeast,TAD2,1,YJL035C
sf3a_yeast,PRP11,1,YDL043C
sf3a_yeast,PRP9,1,YDL030W
sf3a_yeast,PRP21,1,YJL203W
condensin_yeast,YCS4,1,YLR272C
condensin_yeast,SMC4,1,YLR086W
condensin_yeast,YCG1,1,YDR325W
condensin_yeast,SMC2,1,YFR031C
condensin_yeast,BRN1,1,YBL097W
atg17-atg29-atg31_yeast,ATG31,1,YDR022C
atg17-atg29-atg31_yeast,ATG17,1,YLR423C
atg17-atg29-atg31_yeast,ATG29,1,YPL166W
ahas_yeast,ILV6,2,YCL009C
ahas_yeast,ILV2,2,YMR108W
trm8-trm81_yeast,TRM8,1,YDL201W
trm8-trm81_yeast,TRM82,1,YDR165W
dug2_dug3_yeast,DUG2,1,YBR281C
dug2_dug3_yeast,DUG3,1,YNL191W
fact_yeast,POB3,1,YML069W
fact_yeast,SPT16,1,YGL207W
pol-prim_yeast,PRI1,1,YIR008C
pol-prim_yeast,POL12,1,YBL035C
pol-prim_yeast,POL1,1,YNL102W
pol-prim_yeast,PRI2,1,YKL045W
calcineurin,CNA1,1,YLR433C
calcineurin,CMP2,,YML057W
calcineurin,CNB1,1,YKL190W
pfk_yeast,PFK1,4,YGR240C
pfk_yeast,PFK2,4,YMR205C
cbc_yeast,STO1,1,YMR125W
cbc_yeast,CBC2,1,YPL178W
mcm2-7_yeast,MCM5,1,YLR274W
mcm2-7_yeast,MCM7,1,YBR202W
mcm2-7_yeast,MCM6,1,YGL201C
mcm2-7_yeast,MCM3,1,YEL032W
mcm2-7_yeast,MCM2,1,YBL023C
mcm2-7_yeast,MCM4,1,YPR019W
sas_yeast,SAS2,1,YMR127C
sas_yeast,SAS4,1,YDR181C
sas_yeast,SAS5,1,YOR213C
ORC,ORC6,1,YHR118C
ORC,ORC4,1,YPR162C
