Experiment Name,Plate Name,Record Date,$OP,GUID,Well Name,PLATE ID,All Events Parent Name,All Events #Events,All Events %Parent,All Events %Grand Parent,All Events %Total,All Events mCherry-A Mean,All Events mCherry-A Median,All Events mCherry-A SD,All Events CFP-A Mean,All Events CFP-A Median,All Events CFP-A SD,P3 Parent Name,P3 #Events,P3 %Parent,P3 %Grand Parent,P3 %Total,P3 mCherry-A Mean,P3 mCherry-A Median,P3 mCherry-A SD,P3 CFP-A Mean,P3 CFP-A Median,P3 CFP-A SD,P4 Parent Name,P4 #Events,P4 %Parent,P4 %Grand Parent,P4 %Total,P4 mCherry-A Mean,P4 mCherry-A Median,P4 mCherry-A SD,P4 CFP-A Mean,P4 CFP-A Median,P4 CFP-A SD
MoBY_references,PL4_complex_day05,"Mar 21, 2018 1:31:47 PM",Administrator ,078119d3-b08a-4134-b350-bdafd7e2dfe4 ,A7,9d1bed22-0e7c-4882-ba72-c43c033e33c4,,10000,,,,13390,7005,22378,7265,4040,10270,All Events,3605,36.1,,36.1,42,32,62,13013,8862,11312,All Events,6055,60.6,,60.6,21520,14149,23093,3537,2328,4093
MoBY_references,PL4_complex_day05,"Mar 21, 2018 1:31:55 PM",Administrator ,c16dd001-3768-4c04-8a65-212e4d576378 ,A8,9d1bed22-0e7c-4882-ba72-c43c033e33c4,,10000,,,,15626,3645,28290,8454,5023,10895,All Events,3641,36.4,,36.4,53,41,70,12762,9227,10071,All Events,5042,50.4,,50.4,29588,18956,31207,3822,2116,5358
MoBY_references,PL4_complex_day05,"Mar 21, 2018 1:32:04 PM",Administrator ,b911224b-f6f4-4f38-a9c6-bf2940bd7da6 ,A9,9d1bed22-0e7c-4882-ba72-c43c033e33c4,,10000,,,,13339,6726,21926,6063,3517,7641,All Events,3671,36.7,,36.7,32,26,55,11083,8038,8916,All Events,6023,60.2,,60.2,21759,14417,23197,2960,1860,3465
MoBY_references,PL4_complex_day05,"Mar 21, 2018 1:32:19 PM",Administrator ,44d4807f-07e1-42bf-ae71-05621897b0cc ,A10,9d1bed22-0e7c-4882-ba72-c43c033e33c4,,46,,,,2449,81,5036,4910,2542,7133,All Events,13,28.3,,28.3,55,51,39,8399,4864,5980,All Events,11,23.9,,23.9,9499,9832,6436,6035,2441,11244
MoBY_references,PL4_complex_day05,"Mar 21, 2018 1:32:27 PM",Administrator ,fe5db4a0-984c-421b-b380-4ca05114964f ,A11,9d1bed22-0e7c-4882-ba72-c43c033e33c4,,10000,,,,12655,6321,21246,6553,3847,9292,All Events,3719,37.2,,37.2,38,30,60,11574,8105,9724,All Events,6000,60.0,,60.0,20353,13374,21207,3130,1971,3768
MoBY_references,PL4_complex_day05,"Mar 21, 2018 1:32:34 PM",Administrator ,159f2e50-4eed-4150-b41a-f3e624a7e415 ,A12,9d1bed22-0e7c-4882-ba72-c43c033e33c4,,10000,,,,11116,292,22435,8305,5467,10020,All Events,4939,49.4,,49.4,29,26,76,11508,8638,9308,All Events,4790,47.9,,47.9,22257,14342,24815,4519,2292,6129
MoBY_references,PL4_complex_day05,"Mar 21, 2018 1:32:42 PM",Administrator ,61701ef1-1296-44ad-966e-f6568e3b5159 ,B1,9d1bed22-0e7c-4882-ba72-c43c033e33c4,,10000,,,,19295,11716,26295,4685,2304,8032,All Events,1325,13.3,,13.3,40,31,66,12779,8550,11254,All Events,8481,84.8,,84.8,22105,14363,24820,3068,1985,3321
MoBY_references,PL4_complex_day05,"Mar 21, 2018 1:32:51 PM",Administrator ,03841f47-5735-4715-98ae-33f2513fd476 ,B2,9d1bed22-0e7c-4882-ba72-c43c033e33c4,,10000,,,,29229,18651,36764,6481,3097,9462,All Events,2370,23.7,,23.7,50,39,66,15075,10643,12427,All Events,7317,73.2,,73.2,38469,27714,35135,3450,2239,3872
MoBY_references,PL4_complex_day05,"Mar 21, 2018 1:33:00 PM",Administrator ,ebba1b70-406e-46da-b547-bd072066356d ,B3,9d1bed22-0e7c-4882-ba72-c43c033e33c4,,10000,,,,20582,12592,28022,5449,2816,8056,All Events,2448,24.5,,24.5,46,37,62,12520,8702,10367,All Events,7323,73.2,,73.2,27358,18684,27224,2910,1973,3072
MoBY_references,PL4_complex_day05,"Mar 21, 2018 1:33:10 PM",Administrator ,5c3f5f6b-509b-49f1-a056-c89f2aa516aa ,B4,9d1bed22-0e7c-4882-ba72-c43c033e33c4,,10000,,,,9805,66,23335,9418,6602,9614,All Events,6618,66.2,,66.2,40,32,56,11921,8891,9295,All Events,2980,29.8,,29.8,32381,21877,31886,3869,2522,4343
MoBY_references,PL4_complex_day05,"Mar 21, 2018 1:33:19 PM",Administrator ,eef31fff-1a0c-47ca-8095-e823c60a8ecd ,B5,9d1bed22-0e7c-4882-ba72-c43c033e33c4,,10000,,,,18119,10634,27353,7095,3086,12726,All Events,3328,33.3,,33.3,45,33,68,13706,8842,12652,All Events,6416,64.2,,64.2,27568,18898,27727,2689,1667,3462
